length,gc,entropy,obs_gc,obs_entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,ComparisonsPerChar,MaskTable_Bytes,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
512,0.200000,0.300000,0.152344,1.611668,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
512,0.200000,1.100000,0.148438,1.603163,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
512,0.200000,1.900000,0.232422,1.781338,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
512,0.500000,0.300000,0.572266,1.976095,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
512,0.500000,1.100000,0.562500,1.983277,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
512,0.500000,1.900000,0.511719,1.998626,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
512,0.800000,0.300000,0.857422,1.590210,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
512,0.800000,1.100000,0.853516,1.599118,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
512,0.800000,1.900000,0.783203,1.753650,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
1000,0.200000,0.300000,0.164000,1.640311,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
1000,0.200000,1.100000,0.164000,1.638732,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
1000,0.200000,1.900000,0.221000,1.758635,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
1000,0.500000,0.300000,0.516000,1.985681,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
1000,0.500000,1.100000,0.565000,1.985172,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
1000,0.500000,1.900000,0.489000,1.997610,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
1000,0.800000,0.300000,0.844000,1.622990,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
1000,0.800000,1.100000,0.836000,1.641368,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
1000,0.800000,1.900000,0.781000,1.756623,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
2000,0.200000,0.300000,0.178500,1.674733,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
2000,0.200000,1.100000,0.177500,1.673787,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
2000,0.200000,1.900000,0.221000,1.761426,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
2000,0.500000,0.300000,0.479000,1.993994,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
2000,0.500000,1.100000,0.470500,1.994714,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
2000,0.500000,1.900000,0.517500,1.998790,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
2000,0.800000,0.300000,0.826000,1.666735,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
2000,0.800000,1.100000,0.830500,1.655556,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
2000,0.800000,1.900000,0.782500,1.755305,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
